time,force,tip,base
0.059000000000000004,5.364737520612001e-09,-1.153075490007075e-07,-1.1799000001794904e-07
0.059500000000000004,5.42666911854429e-09,-1.1627658321163497e-07,-1.1899000001826781e-07
0.060000000000000005,5.48882606115116e-09,-1.172455047496708e-07,-1.1999000001806994e-07
0.0605,5.551207458035968e-09,-1.182143140603848e-07,-1.2099000001772697e-07
0.061,5.613812427407126e-09,-1.1918301158481865e-07,-1.21990000017384e-07
0.0615,5.6766400969396315e-09,-1.2015159775913499e-07,-1.2299000001704102e-07
0.062,5.739689603472342e-09,-1.211200730149148e-07,-1.2399000001669805e-07
0.0625,5.802960092825582e-09,-1.220884377792549e-07,-1.2499000001635508e-07
0.063,5.866450719595091e-09,-1.2305669247483755e-07,-1.259900000160121e-07
0.0635,5.930160647107077e-09,-1.2402483752002168e-07,-1.2699000001566913e-07
0.064,5.994089047161981e-09,-1.2499287332889842e-07,-1.2799000001532616e-07
0.0645,6.058235099956141e-09,-1.259608003113718e-07,-1.2899000001498318e-07
0.065,6.1225979939212214e-09,-1.2692861887322488e-07,-1.299900000146402e-07
0.0655,6.187176925597755e-09,-1.2789632941618853e-07,-1.3099000001429724e-07
0.066,6.251971099497339e-09,-1.288639323380067e-07,-1.3199000001395426e-07
0.0665,6.316979727977548e-09,-1.2983142803250146e-07,-1.329900000136113e-07
0.067,6.3822020311141625e-09,-1.307988168896358e-07,-1.3399000001326832e-07
0.0675,6.447637236574916e-09,-1.3176609929557475e-07,-1.3499000001292535e-07
0.068,6.5132845795073265e-09,-1.3273327563274652e-07,-1.3599000001258237e-07
0.0685,6.579143302409536e-09,-1.337003462798999e-07,-1.369900000122394e-07
0.069,6.645212655031644e-09,-1.3466731161216388e-07,-1.3799000001189643e-07
0.0695,6.711491894244925e-09,-1.3563417200110125e-07,-1.3899000001155345e-07
0.07,6.77798028393855e-09,-1.366009278147646e-07,-1.3999000001121048e-07
0.07050000000000001,6.844677094926525e-09,-1.3756757941775214e-07,-1.409900000108675e-07
0.07100000000000001,6.911581604815754e-09,-1.3853412717125635e-07,-1.4199000001052453e-07
0.07150000000000001,6.978693097931218e-09,-1.3950057143311974e-07,-1.4299000001018156e-07
0.07200000000000001,7.046010865189178e-09,-1.4046691255788116e-07,-1.4399000000983859e-07
0.0725,7.113534204015402e-09,-1.4143315089682783e-07,-1.449900000094956e-07
0.073,7.181262418249263e-09,-1.4239928679804348e-07,-1.4599000000915264e-07
0.0735,7.249194818030321e-09,-1.4336532060645313e-07,-1.4699000000880967e-07
0.074,7.317330719737416e-09,-1.443312526638737e-07,-1.479900000084667e-07
0.0745,7.385669445864983e-09,-1.452970833090548e-07,-1.4899000000812372e-07
0.075,7.454210324954932e-09,-1.462628128777261e-07,-1.4999000000778075e-07
0.0755,7.522952691503722e-09,-1.4722844170263997e-07,-1.5099000000743777e-07
0.076,7.591895885877267e-09,-1.48193970113614e-07,-1.519900000070948e-07
0.0765,7.661039254225533e-09,-1.491593984375729e-07,-1.5299000000675183e-07
0.077,7.730382148404875e-09,-1.5012472699858968e-07,-1.5399000000640885e-07
0.0775,7.799923925884936e-09,-1.5108995611792436e-07,-1.5499000000606588e-07
0.078,7.869663949705692e-09,-1.52055086114068e-07,-1.559900000057229e-07
0.0785,7.939601588345388e-09,-1.5302011730277402e-07,-1.5699000000537993e-07
0.079,8.009736215687335e-09,-1.5398504999710188e-07,-1.5799000000503696e-07
0.0795,8.080067210931874e-09,-1.5494988450745214e-07,-1.58990000004694e-07
0.08,8.150593958520764e-09,-1.5591462114160274e-07,-1.5999000000435101e-07
0.0805,8.22131584807944e-09,-1.568792602047464e-07,-1.6099000000400804e-07
0.081,8.292232274319017e-09,-1.5784380199952203e-07,-1.6199000000366507e-07
0.0815,8.36334263699588e-09,-1.5880824682605302e-07,-1.629900000033221e-07
0.082,8.434646340832335e-09,-1.5977259498197956e-07,-1.6399000000297912e-07
0.0825,8.506142795448142e-09,-1.6073684676249121e-07,-1.6499000000263615e-07
0.083,8.577831415301167e-09,-1.6170100246036022e-07,-1.6599000000229318e-07
0.0835,8.649711619616852e-09,-1.6266506236597283e-07,-1.669900000019502e-07
0.084,8.721782832331938e-09,-1.6362902676736143e-07,-1.6799000000160723e-07
0.0845,8.79404448202985e-09,-1.645928959502348e-07,-1.6899000000126426e-07
0.085,8.866496001879545e-09,-1.6555667019800848e-07,-1.6999000000092128e-07
0.0855,8.939136829573612e-09,-1.6652034979183407e-07,-1.709900000005783e-07
0.08600000000000001,9.011966407287194e-09,-1.6748393501063036e-07,-1.7199000000023534e-07
0.08650000000000001,9.084984181587494e-09,-1.684474261311084e-07,-1.7298999999989236e-07
0.08700000000000001,9.158189603407654e-09,-1.694108234278029e-07,-1.739899999995494e-07
0.08750000000000001,9.231582127977899e-09,-1.7037412717309857e-07,-1.7498999999920642e-07
0.08800000000000001,9.305161214778536e-09,-1.7133733763725775e-07,-1.7598999999886344e-07
0.0885,9.378926327473402e-09,-1.72300455088446e-07,-1.7698999999852047e-07
0.089,9.45287693387676e-09,-1.7326347979276063e-07,-1.779899999981775e-07
0.0895,9.527012505872766e-09,-1.742264120142528e-07,-1.7898999999783452e-07
0.09,9.601332519399289e-09,-1.7518925201495737e-07,-1.7998999999749155e-07
0.0905,9.675836454377663e-09,-1.7615200005491495e-07,-1.8098999999714858e-07
0.091,9.750523794666116e-09,-1.771146563921971e-07,-1.819899999968056e-07
0.0915,9.825394028008633e-09,-1.780772212829297e-07,-1.8298999999646263e-07
0.092,9.900446645993743e-09,-1.7903969498131795e-07,-1.8398999999611966e-07
0.0925,9.975681144013624e-09,-1.800020777396699e-07,-1.8498999999577668e-07
0.093,1.0051097021199818e-08,-1.8096436980841724e-07,-1.859899999954337e-07
0.0935,1.0126693780392215e-08,-1.8192657143613956e-07,-1.8698999999509074e-07
0.094,1.0202470928095633e-08,-1.828886828695868e-07,-1.8798999999474776e-07
0.0945,1.0278427974425218e-08,-1.8385070435369934e-07,-1.889899999944048e-07
0.095,1.03545644330756e-08,-1.8481263613163152e-07,-1.8998999999406182e-07
0.0955,1.0430879821267487e-08,-1.8577447844477083e-07,-1.9098999999371885e-07
0.096,1.0507373659720127e-08,-1.8673623153276057e-07,-1.9198999999337587e-07
0.0965,1.0584045472596594e-08,-1.8769789563351858e-07,-1.929899999930329e-07
0.097,1.0660894787469119e-08,-1.8865947098325817e-07,-1.9398999999268993e-07
0.0975,1.0737921135286833e-08,-1.8962095781650877e-07,-1.9498999999234695e-07
0.098,1.0815124050308282e-08,-1.9058235636613163e-07,-1.9598999999200398e-07
0.0985,1.089250307011651e-08,-1.9154366686334597e-07,-1.96989999991661e-07
0.099,1.0970057735523085e-08,-1.9250488953774025e-07,-1.9798999999131803e-07
0.0995,1.1047787590569387e-08,-1.934660246172958e-07,-1.9898999999097506e-07
0.1,1.112569218247291e-08,-1.9442707232840298e-07,-1.9998999999063209e-07
0.1005,1.1203771061601706e-08,-1.9538803289588016e-07,-2.009899999902891e-07
0.101,1.1282023781423792e-08,-1.9634890654298995e-07,-2.0198999998994614e-07
0.1015,1.136044989849293e-08,-1.9730969349145895e-07,-2.0298999998960317e-07
0.10200000000000001,1.1439048972393009e-08,-1.9827039396149233e-07,-2.039899999892602e-07
