time,force,tip,base,indentation,R,A,k,Q,f,approach_vel,Ee,E_arms,T_arms
0.008660000000000001,-8.168015168161922e-10,-1.3728317126345028e-08,-1.3319999999907895e-08,1.3728317126345028e-08,,,,,,,,,
0.008665,-8.165078076937612e-10,-1.3738170271982819e-08,-1.3329999999907774e-08,1.3738170271982819e-08,,,,,,,,,
0.00867,-8.162140516448632e-10,-1.3748023394157368e-08,-1.3339999999907653e-08,1.3748023394157368e-08,,,,,,,,,
0.008675,-8.159202486699528e-10,-1.3757876492868904e-08,-1.3349999999907532e-08,1.3757876492868904e-08,,,,,,,,,
0.00868,-8.156263987694901e-10,-1.3767729568117673e-08,-1.335999999990741e-08,1.3767729568117673e-08,,,,,,,,,
0.008685,-8.153325019440048e-10,-1.3777582619903906e-08,-1.336999999990729e-08,1.3777582619903906e-08,,,,,,,,,
0.00869,-8.150385581939722e-10,-1.378743564822788e-08,-1.3379999999907169e-08,1.378743564822788e-08,,,,,,,,,
0.008695,-8.147445675199525e-10,-1.379728865308985e-08,-1.3389999999907048e-08,1.379728865308985e-08,,,,,,,,,
0.0087,-8.144505299224951e-10,-1.3807141634490098e-08,-1.3399999999906927e-08,1.3807141634490098e-08,,,,,,,,,
0.008705000000000001,-8.141564454021738e-10,-1.3816994592428907e-08,-1.3409999999906806e-08,1.3816994592428907e-08,,,,,,,,,
0.00871,-8.13862313959584e-10,-1.3826847526906579e-08,-1.3419999999906684e-08,1.3826847526906579e-08,,,,,,,,,
0.008715,-8.135681355953391e-10,-1.3836700437923418e-08,-1.3429999999906563e-08,1.3836700437923418e-08,,,,,,,,,
0.00872,-8.13273910310072e-10,-1.384655332547974e-08,-1.3439999999906442e-08,1.384655332547974e-08,,,,,,,,,
0.008725,-8.129796381044279e-10,-1.3856406189575875e-08,-1.3449999999906321e-08,1.3856406189575875e-08,,,,,,,,,
0.00873,-8.126853189790933e-10,-1.3866259030212153e-08,-1.34599999999062e-08,1.3866259030212153e-08,,,,,,,,,
0.008735,-8.123909529347425e-10,-1.3876111847388925e-08,-1.346999999990608e-08,1.3876111847388925e-08,,,,,,,,,
0.00874,-8.120965399721013e-10,-1.388596464110654e-08,-1.3479999999905958e-08,1.388596464110654e-08,,,,,,,,,
0.008745000000000001,-8.118020800918812e-10,-1.389581741136537e-08,-1.3489999999905837e-08,1.389581741136537e-08,,,,,,,,,
0.00875,-8.115075732948444e-10,-1.3905670158165782e-08,-1.3499999999905716e-08,1.3905670158165782e-08,,,,,,,,,
0.008755,-8.112130195817642e-10,-1.3915522881508158e-08,-1.3509999999905595e-08,1.3915522881508158e-08,,,,,,,,,
0.00876,-8.109184189533939e-10,-1.3925375581392903e-08,-1.3519999999905474e-08,1.3925375581392903e-08,,,,,,,,,
0.008765,-8.106237714105881e-10,-1.3935228257820398e-08,-1.3529999999905353e-08,1.3935228257820398e-08,,,,,,,,,
0.00877,-8.10329076954113e-10,-1.394508091079108e-08,-1.3539999999905232e-08,1.394508091079108e-08,,,,,,,,,
0.008775,-8.100343355848456e-10,-1.3954933540305355e-08,-1.3549999999905111e-08,1.3954933540305355e-08,,,,,,,,,
0.00878,-8.097395473036439e-10,-1.3964786146363651e-08,-1.355999999990499e-08,1.3964786146363651e-08,,,,,,,,,
0.008785,-8.094447121113925e-10,-1.3974638728966408e-08,-1.356999999990487e-08,1.3974638728966408e-08,,,,,,,,,
0.008790000000000001,-8.091498300089493e-10,-1.398449128811409e-08,-1.3579999999904748e-08,1.398449128811409e-08,,,,,,,,,
0.008795,-8.088549009972981e-10,-1.3994343823807125e-08,-1.3589999999904627e-08,1.3994343823807125e-08,,,,,,,,,
0.0088,-8.085599250772821e-10,-1.400419633604602e-08,-1.3599999999904506e-08,1.400419633604602e-08,,,,,,,,,
0.008805,-8.08264902249962e-10,-1.4014048824831202e-08,-1.3609999999904385e-08,1.4014048824831202e-08,,,,,,,,,
0.00881,-8.079698325161855e-10,-1.4023901290163213e-08,-1.3619999999904264e-08,1.4023901290163213e-08,,,,,,,,,
0.008815,-8.076747158770805e-10,-1.4033753732042482e-08,-1.3629999999904143e-08,1.4033753732042482e-08,,,,,,,,,
0.00882,-8.0737955233351e-10,-1.4043606150469576e-08,-1.3639999999904022e-08,1.4043606150469576e-08,,,,,,,,,
0.008825,-8.070843418866087e-10,-1.4053458545444958e-08,-1.3649999999903901e-08,1.4053458545444958e-08,,,,,,,,,
0.008830000000000001,-8.067890845373581e-10,-1.4063310916969178e-08,-1.365999999990378e-08,1.4063310916969178e-08,,,,,,,,,
0.008835,-8.064937802868386e-10,-1.4073163265042754e-08,-1.366999999990366e-08,1.4073163265042754e-08,,,,,,,,,
0.00884,-8.061984291361309e-10,-1.4083015589666224e-08,-1.3679999999903538e-08,1.4083015589666224e-08,,,,,,,,,
0.008845,-8.05903031086299e-10,-1.409286789084015e-08,-1.3689999999903417e-08,1.409286789084015e-08,,,,,,,,,
0.00885,-8.056075861385233e-10,-1.4102720168565056e-08,-1.3699999999903296e-08,1.4102720168565056e-08,,,,,,,,,
